Title,Brand,Category,URL,SKU
KitchenAid 30-in Deep Recessed 4 Burners Self-Cleaning Convection with Downdraft Exhaust Dual Fuel Range (Stainless Steel),KitchenAid,Dual Fuel Ranges,https://www.lowes.com/pd/KitchenAid-Deep-Recessed-4-Burners-Self-Cleaning-Convection-with-Downdraft-Exhaust-Stainless-Steel-Common-30-in-Actual-29-875-in/50448998,50448998
GE 30-in 5 Burners 5.6-cu ft Self-Cleaning Air Fry Convection Slide-In Gas Range (Fingerprint-Resistant Slate),GE,Gas Ranges,https://www.lowes.com/pd/GE-30-in-5-Burners-5-6-cu-ft-Self-Cleaning-Air-Fry-Convection-Slide-In-Gas-Range-Fingerprint-Resistant-Slate/5000200425,5000200425
Premier 20-in Smooth Surface 4 Elements 2.4-cu ft Freestanding Electric Range (White on White),Premier,Electric Ranges,https://www.lowes.com/pd/Premier-Smooth-Surface-4-Elements-2-4-cu-ft-Freestanding-Electric-Range-White-On-White-Common-20-in-Actual-20-125-in/1002824914,1002824914
Whirlpool Smart 30-in 5 Burners 5.8-cu ft Self-Cleaning Convection Freestanding Gas Range (Fingerprint-Resistant Black Stainless),Whirlpool,Gas Ranges,https://www.lowes.com/pd/Whirlpool-Smart-5-Burners-5-8-cu-ft-Self-cleaning-Convection-Freestanding-Gas-Range-Fingerprint-Resistant-Black-Stainless-Common-30-in-Actual-29-875-in/1000307097,1000307097
GE Profile Smart 30-in Smooth Surface 5 Elements 5.3-cu ft Self-Cleaning Air Fry Convection European Element Freestanding Electric Range (Fingerprint-Resistant Black Stainless),GE,Electric Ranges,https://www.lowes.com/pd/GE-Profile-Smart-Smooth-Surface-5-Elements-5-3-cu-ft-Self-Cleaning-Air-Fry-True-Convection-Freestanding-Electric-Range-Fingerprint-Resistant-Black-Stainless-Common-30-in-Actual-29-875-in/1003242942,1003242942
GE 30-in 4 Elements 5-cu ft Self-Cleaning Freestanding Electric Range (Stainless Steel),GE,Electric Ranges,https://www.lowes.com/pd/GE-4-Elements-5-cu-ft-Self-Cleaning-Freestanding-Electric-Range-Stainless-Steel-Common-30-in-Actual-30-in/1000645489,1000645489
Whirlpool 30-in 4 Elements 4.8-cu ft Self-Cleaning Freestanding Electric Range (Stainless Steel),Whirlpool,Electric Ranges,https://www.lowes.com/pd/Whirlpool-4-Elements-4-8-cu-ft-Self-Cleaning-Freestanding-Electric-Range-Stainless-Steel-Common-30-in-Actual-29-88-in/1002661116,1002661116
Whirlpool 30-in Smooth Surface 5 Elements 6.4-cu ft Self-Cleaning Convection Freestanding Electric Range (Fingerprint-Resistant Stainless Steel),Whirlpool,Electric Ranges,https://www.lowes.com/pd/Whirlpool-Smooth-Surface-5-Elements-6-4-cu-ft-Self-Cleaning-Convection-Freestanding-Electric-Range-Fingerprint-Resistant-Stainless-Steel-Common-30-in-Actual-29-875-in/1000307055,1000307055
LG SIGNATURE Smart Wi-Fi Enabled 30-in 5 Burners 4.3-cu ft/2.6-cu ft Self-Cleaning Double Oven Convection European Element Gas Range (Textured Steel),LG,Gas Ranges,https://www.lowes.com/pd/LG-SIGNATURE-Smart-Wi-Fi-Enabled-5-Burners-4-3-cu-ft-2-6-cu-ft-Self-cleaning-Double-Oven-True-Convection-True-Convection-Gas-Range-Textured-Steel-Common-30-in-Actual-29-875-in/1000311169,1000311169
Whirlpool 30-in 5 Burners 5.8-cu ft Self-Cleaning Convection Freestanding Gas Range (Fingerprint-Resistant Stainless Steel),Whirlpool,Gas Ranges,https://www.lowes.com/pd/Whirlpool-5-Burners-5-8-cu-ft-Self-cleaning-Convection-Freestanding-Gas-Range-Fingerprint-Resistant-Stainless-Steel-Common-30-in-Actual-29-875-in/1000307091,1000307091
