Title,Brand,Category,URL,SKU
Cafe 21.9-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Stainless Steel),Cafe,Side-by-Side Refrigerators,https://www.lowes.com/pd/Cafe-21-9-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Stainless-Steel/1000859828,1000859828
Haier 27-cu ft French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,Haier,French Door Refrigerators,https://www.lowes.com/pd/Haier-27-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000815456,1000815456
Maytag 20.6-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel),Maytag,Side-by-Side Refrigerators,https://www.lowes.com/pd/Maytag-20-6-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000210509,1000210509
Hisense 4.4-cu ft Freestanding Mini Fridge (Black Stainless Steel),Hisense,Mini Fridges,https://www.lowes.com/pd/Hisense-4-4-cu-ft-Freezerless-Refrigerator-Black-SS-Look-ENERGY-STAR/1002981222,1002981222
GE 21.9-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel),GE,Side-by-Side Refrigerators,https://www.lowes.com/pd/GE-21-9-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000842434,1000842434
Fisher & Paykel 17.5-cu ft Counter-depth Bottom-Freezer Refrigerator (Fingerprint-Resistant White) ENERGY STAR,Fisher & Paykel,Bottom-Freezer Refrigerators,https://www.lowes.com/pd/Fisher-Paykel-17-5-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-Fingerprint-Resistant-White-ENERGY-STAR/1000694526,1000694526
Fisher & Paykel 13.5-cu ft Counter-depth Bottom-Freezer Refrigerator (Fingerprint-Resistant Stainless Steel),Fisher & Paykel,Bottom-Freezer Refrigerators,https://www.lowes.com/pd/Fisher-Paykel-13-5-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-Fingerprint-Resistant-Stainless-Steel/1000694522,1000694522
KitchenAid 25.5-cu ft Built-In Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless),KitchenAid,Side-by-Side Refrigerators,https://www.lowes.com/pd/KitchenAid-25-5-cu-ft-Built-In-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless/1000237347,1000237347
KitchenAid 5.1-cu ft Built-In/Freestanding Mini Fridge (Black Stainless with Printshield),KitchenAid,Mini Fridges,https://www.lowes.com/pd/KitchenAid-5-1-cu-ft-Built-In-Freestanding-Mini-Fridge-Black-Stainless/1000080939,1000080939
EdgeStar 20 -in Wide Kegerator and Keg Beer Cooler for Full Size Kegs,EdgeStar,Kegerators,https://www.lowes.com/pd/EdgeStar-20-in-Wide-Kegerator-and-Keg-Beer-Cooler-for-Full-Size-Kegs/1003097940,1003097940
