Title,Brand,Category,URL,SKU
Electrolux 2.4-cu ft High Efficiency Stackable Steam Cycle Front-Load Washer (White) ENERGY STAR,Electrolux,Washing Machines,https://www.lowes.com/pd/Electrolux-2-4-cu-ft-High-Efficiency-Stackable-Steam-Cycle-Front-Load-Washer-White-ENERGY-STAR/1000966240,1000966240
Equator Advanced Appliances Vented Combination Washer and Dryer (Black) ENERGY STAR,Equator Advanced Appliances,Combination Washers & Dryers,https://www.lowes.com/pd/Equator-Advanced-Appliances-Vented-Combination-Washer-and-Dryer-Black-ENERGY-STAR/5000149341,5000149341
Whirlpool 1.6-cu ft Compact Top-Load Washer with Flexible Installation - White,Whirlpool,Washing Machines,https://www.lowes.com/pd/Whirlpool-1-5-cu-ft-Portable-Top-Load-Washer-White/1000695146,1000695146
Whirlpool 5.3-cu ft Smart Capable High-Efficiency Top-Load Washer with Load and Go Dispenser and Dual Temperature Faucet - White,Whirlpool,Washing Machines,https://www.lowes.com/pd/Whirlpool-Smart-capable-5-3-cu-ft-High-Efficiency-Top-Load-Washer-White-ENERGY-STAR/1001880968,1001880968
Maytag 5.2-cu ft Smart Capable High-Efficiency Top-Load Washers with Extra Power Button - Metallic Slate,Maytag,Washing Machines,https://www.lowes.com/pd/Maytag-Smart-capable-5-2-cu-ft-High-Efficiency-Top-Load-Washer-Metallic-Slate-ENERGY-STAR/1001819468,1001819468
GE 4.6-cu ft High Efficiency Top-Load Washer (White) ENERGY STAR,GE,Washing Machines,https://www.lowes.com/pd/GE-4-6-cu-ft-High-Efficiency-Top-Load-Washer-White-ENERGY-STAR/1001050930,1001050930
Whirlpool 4.8-cu ft High-Efficiency Top-Load Washer with Pretreat Station - Chrome Shadow,Whirlpool,Washing Machines,https://www.lowes.com/pd/Whirlpool-4-8-cu-ft-High-Efficiency-Top-Load-Washer-Chrome-Shadow/1002609994,1002609994
LG High-Efficiency Stackable Front-Load Washer with Steam Cycle (Black Steel) ENERGY STAR,LG,Washing Machines,https://www.lowes.com/pd/LG-High-Efficiency-Stackable-Front-Load-Washer-with-Steam-Cycle-Black-Steel-ENERGY-STAR/5000140757,5000140757
LG High-Efficiency Stackable Front-Load Washer with Steam Cycle (Black Steel) ENERGY STAR,LG,Washing Machines,https://www.lowes.com/pd/LG-High-Efficiency-Stackable-Front-Load-Washer-with-Steam-Cycle-Black-Steel-ENERGY-STAR/5000140763,5000140763
LG High-Efficiency Stackable Front-Load Washer with Steam Cycle (Graphite Steel) ENERGY STAR,LG,Washing Machines,https://www.lowes.com/pd/LG-High-Efficiency-Stackable-Front-Load-Washer-with-Steam-Cycle-Graphite-Steel-ENERGY-STAR/5000140745,5000140745
